quote_id,equipment_type,"GROUP_CONCAT(CONCAT(' ',e.equipment_name, ': ', t.value))",Make,Model
1317352,Sprayer,"Sprayer Make: JD, Sprayer Model: 4830, Year: 2022",JD,4830
1317249,Sprayer,"Sprayer Make: Case, Sprayer Model: 4440, Year: 2017",Case,4440
1316976,Sprayer,"Sprayer Make: New Holland, Sprayer Model: SPF 130",New Holland,SPF 130
1316786,Sprayer,"Sprayer Make: John Deere , Sprayer Model: 616R, Year: 2023",John Deere ,616R
1316403,Sprayer,"Sprayer Make: jd, Sprayer Model: 4030, Year: 2015",jd,4030
1316247,Sprayer,"Sprayer Make: Hagie, Sprayer Model: STS16",Hagie,STS16
1316244,Sprayer,"Sprayer Make: John Deere, Sprayer Model: R4030, Year: 2018",John Deere,R4030
1316049,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 80, Row Spacing: 7.5"", Air Seeder Model: N550, Year: New, Number of Towers: 8, Number of Tanks: 2, Number of Ranks: 2, Number of Rock Shafts: 10, Frame Type: 5 Section",John Deere,N550
1316041,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 35, Row Spacing: 10"", Air Seeder Model: 1990, Number of Ranks: 2, Frame Type: 3 Section",John Deere,1990
1315850,Sprayer,"Sprayer Make: Rogator, Sprayer Model: 1286",Rogator,1286
1315112,Sprayer,"Sprayer Make: JD , Sprayer Model: 4830 100' 7 section",JD ,4830 100
1314260,Sprayer,"Sprayer Make: Case, Sprayer Model: 4440",Case,4440
1314231,Sprayer,"Sprayer Make: CASE, Sprayer Model: 4440 120ft",CASE,4440 120ft
1314208,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4940",John Deere,4940
1313927,Sprayer,"Sprayer Make: Case, Sprayer Model: SPX, Year: 2012",Case,SPX
1313428,Sprayer,"Sprayer Make: John deere, Sprayer Model: 4030, Year: 2021",John deere,4030
1313296,Sprayer,"Sprayer Make: case, Sprayer Model: 4440, Year: 2018",case,4440
1313265,Sprayer,"Sprayer Make: booms, Sprayer Model: booms, Year: 1",booms,booms
1313196,Sprayer,"Sprayer Make: John Deere, Sprayer Model: R4045",John Deere,R4045
1313195,Sprayer,"Sprayer Make: Apache, Sprayer Model: AS715, Year: 2010",Apache,AS715
1313185,Sprayer,"Sprayer Make: JD, Sprayer Model: 4044",JD,4044
1312863,Sprayer,"Sprayer Make: John Deere, Sprayer Model: R4038, Year: 2019",John Deere,R4038
1312226,Sprayer,"Sprayer Make: Case ih, Sprayer Model: 4440",Case ih,4440
1312224,Sprayer,"Sprayer Make: Fast, Sprayer Model: 9518",Fast,9518
